Person id	Full name	Full name reversed	Blurb	male/female/group	Nationality	Birth date	Birth year	Death date	Death year	Birth city/state	Birth country	Death city/state	Death country	I am a useless column
abarcpedro000018	Pedro Pablo Abarca y Bolea, conde de Aranda	  Abarca y Bolea, Pedro Pablo, conde de Aranda	(1718–1798), Spanish general, diplomat, statesman	Male	Spanish	Monday, 1 August 1718	1718	Tuesday, 9 January 1798	1798	Castillo de Sietamo, Sietamo, Huesca	Spain	Epila, Zaragoza	Spain	
abauzfirmi000019	Firmin Abauzit	Abauzit, Firmin	(1679–1767), French theologian, biblical scholar	male	French	Saturday, 11 November 1679	1679	Friday, 20 March 1767	1767	Uzès, Gard	France	Geneva, canton of Geneva	Switzerland	
abbotcharl000020	Charles Abbot, 1st Baron Colchester	Abbot, Charles, 1st Baron Colchester	(1757–1829), English politician	Male	English	Friday, 14 October 1757	1757	Thursday, 7 May 1829	1829	Abingdon, Berkshire	England	London, Greater London	England	
abbotjohnf003733	John Farr Abbot	Abbot, John Farr	(1756–1794), English lawyer, academy member	Male	English	1756	1756	Monday, 22 September 1794	1794		England	York, Yorkshire	England	
abbotmary0025055	Mrs Mary Abbot	Abbot, Mrs Mary	(c. 1762–1793), English lawyer's wife	female	English	c. 1762	1762	Wednesday, 11 December 1793	1793		England	Naples, Campania	Italy	
abeillouis000021	Louis Paul Abeille	Abeille, Louis Paul	(1719–1807), French economist	Male	French	1719	1719	1807	1807	Toulon, Var	France	Paris, Ile-de-France	France	
abercdavid025563	David Abercromby	Abercromby, David	(d. c. 1701), Scottish Jesuit, physician, scientist, controversialist	Male	Scottish		0	c.  1701	1701		Scotland		Netherlands	
abercjames004073	James Abercrombie	Abercrombie, James	(1758–1841), American clergyman	Male	American	1758	1758	Saturday, 26 June 1841	1841	Philadelphia, Pennsylvania	United States of America	Philadelphia, Pennsylvania	United States of America	
abercjames004585	Colonel James Abercromby	Abercromby, Colonel James	(1706–1781), Scottish general	Male	Scottish	1706	1706	Monday, 23 April 1781	1781	Glassaugh, Banffshire	Scotland	Glassaugh, Banffshire	Scotland	
abercjames005754	James Abercromby, 1st Baron Dunfermline	Abercromby, James, 1st Baron Dunfermline	(1776–1858), Scottish politician	m	Scottish	Thursday, 7 November 1776	1776	1858	1858		Scotland		unknown	
aberdeento024385	Town Council of Aberdeen	Aberdeen, Town Council of	(founded 1179), Scottish municipal body	Group	Scottish	1179	1179		0		Scotland		unknown	
aberdpresb024845	Presbytery of Aberdeen	Aberdeen, Presbytery of	(founded 1560), Scottish ecclesiastical body	Group	Scottish	1560	1560		0		Scotland		unknown	
abingfranc004074	Frances Abington	Abington, Frances	(1737–1815), English actress	Female	English	1737	1737	Saturday, 4 March 1815	1815		England	London, Greater London	England	
abosdantoi024215	Antoine Maximilien d'Abos de Binanville	Abos de Binanville, Antoine Maximilien d'	(1726–1766), French lawyer	Male	French	1726	1726	1765	1765		France		unknown	
academiede000023	Académie de Lyon	Académie de Lyon	(founded 1700), French learned society	Group	French	1700	1700		0		France		unknown	
academiede023844	Académie de Dijon	Académie de Dijon	(founded 1725), French learned society	Group	French	1725	1725		0		France		unknown	
academiefr000024	Académie française	Académie française	(founded 1635), French learned society	Group	French	1635	1635		0		France		unknown	
academiero000025	Académie royale d'Angers	Académie royale d'Angers	(founded 1685), French learned society	Group	French	Sunday, 10 June 1685	1685		0		France		unknown	
acarqjeanp000796	Jean Pierre d'Açarq	Açarq, Jean Pierre d'	(1720–1795), French linguist, scholar	Male	French	c. 1720	1720	1795	1795	Audruick, Artois	France	Saint-Omer, Pas-de-Calais	France	
acharantoi000028	Antoine Achard	Achard, Antoine	(1696–1772), Swiss protestant minister, preacher	Male	Swiss	Tuesday, 4 December 1696	1696	Saturday, 2 May 1772	1772	Geneva, canton of Geneva	Switzerland	Berlin, state of Berlin	Germany	
achesanne0005511	Lady Anne Acheson	Acheson, Lady Anne	(before 1700–1737), Irish aristocrat	Female	Irish	before 1700	1700	c. October 1737	1737		Ireland		unknown	
achesarchi024063	Archibald Acheson, 1st Viscount Gosford	Acheson, Archibald, 1st Viscount Gosford  	(1718–1790), Irish politician	Male	Irish	Thursday, 1 September 1718	1718	Sunday, 5 September 1790	1790	county Armagh	Ireland		unknown	
adairpatri025564	Rev. Patrick Adair	Adair, Rev. Patrick	(c. 1624–1694), Scottish Presbyterian minister, historian	Male	Scottish	1624	1624	1694	1694	Dumfries and Galloway	Scotland	Ulster	Ireland	
adairrober000030	Robert Adair	Adair, Robert	(1711–1790), Irish surgeon	Male	Irish	1711	1711	1790	1790	Ulster	Ireland		unknown	
adamantoi0000031	Antoine Adam	Adam, Antoine	(1705–1787), French Jesuit, university professor	Male	French	Saturday, 19 December 1705	1705	Wednesday, 10 October 1787	1787	Nancy, Meurthe-et-Moselle	France	near Ferney, Ain	France	
adamjames0003734	James Adam	Adam, James	(1732–1794), Scottish architect	Male	Scottish	Monday, 21 July 1732	1732	1794	1794	Edinburgh, county of Edinburgh	Scotland	London, Greater London	England	
adamrober0003735	Robert Adam	  Adam, Robert	(1728–1792), Scottish architect	Male	Scottish	Saturday, 3 July 1728	1728	Saturday, 3 March 1792	1792	Kirkcaldy, Fife	Scotland	London, Greater London	England	
adamsabiga000034	Abigail Adams	Adams, Abigail	(1744–1818), American president's wife	Female	American	Wednesday, 11 November 1744	1744	Wednesday, 28 October 1818	1818	Weymouth, Massachusetts	United States of America	Quincy, Massachusetts	United States of America	
adamsjohn0000035	John Adams	Adams, John	(1735–1826), American founding father, president	Male	American	Sunday, 30 October 1735	1735	Tuesday, 4 July 1826	1826	Quincy, Massachusetts	United States of America	Quincy, Massachusetts	United States of America	
